Customer ID,Date,Subtotal,State,Country
34,6/21/2007,86,ON,Canada
38,6/27/2007,38.4,ON,Canada
47,7/2/2007,53.5,MO,United States
61,7/14/2007,7,ON,Canada
78,7/21/2007,55.5,ON,Canada
79,7/21/2007,31.7,ON,Canada
82,7/25/2007,110.8,BC,Canada
48,7/25/2007,39.3,ON,Canada
62,8/9/2007,71.4,NB,Canada
9,8/13/2007,13.2,ON,Canada
67,8/20/2007,2.5,ON,Canada
96,8/21/2007,63.6,ON,Canada
131,8/30/2007,113.4,ON,Canada
129,9/3/2007,72,ON,Canada
64,9/7/2007,57.6,ON,Canada
30,9/7/2007,36.2,ON,Canada
166,9/19/2007,16,BC,Canada
171,9/27/2007,54,AB,Canada
182,9/28/2007,34.46,ON,Canada
115,9/28/2007,34.99,ON,Canada
226,10/17/2007,109.6,ON,Canada
192,10/22/2007,203.73,,United States
230,10/29/2007,20,,Germany
249,11/5/2007,124.1,ON,Canada
243,11/7/2007,30,ON,Canada
259,11/8/2007,27.5,ON,Canada
267,11/9/2007,20,BC,Canada
273,11/10/2007,18,ON,Canada
275,11/11/2007,26,ON,Canada
282,11/13/2007,18,ON,Canada
288,11/13/2007,46.99,NV,United States
300,11/21/2007,22,ON,Canada
326,11/28/2007,11,SK,Canada
269,11/29/2007,180.07,AB,Canada
231,11/30/2007,49.5,QC,Canada
340,12/5/2007,44.9,ON,Canada
344,12/6/2007,13.7,FL,United States
345,12/7/2007,198,NS,Canada
346,12/7/2007,40.7,CT,United States
311,12/10/2007,27,ON,Canada
190,12/10/2007,38.5,ON,Canada
363,12/18/2007,10.7,FL,United States
382,1/3/2008,3.3,QLD,Australia
394,1/8/2008,30.6,ON,Canada
397,1/9/2008,42.8,CT,United States
380,1/11/2008,19.95,RI,United States
398,1/11/2008,89.74,QC,Canada
399,1/11/2008,39.55,MB,Canada
404,1/17/2008,90.6,QC,Canada
406,1/18/2008,50.8,ON,Canada
407,1/19/2008,28.7,VA,United States
408,1/20/2008,49.1,,Australia
411,1/22/2008,69.75,QC,Canada
415,1/23/2008,8.9,WV,United States
