Customer ID,Date,Subtotal,State,Country
418,1/27/2008,17.8,QC,Canada
420,1/27/2008,64.55,ON,Canada
423,1/29/2008,50.25,CA,United States
425,1/31/2008,50.35,QC,Canada
430,2/4/2008,64.75,QC,Canada
325,2/4/2008,21.3,ON,Canada
435,2/5/2008,67.3,ON,Canada
433,2/5/2008,49.1,ON,Canada
436,2/5/2008,73,VA,United States
439,2/7/2008,246.49,ON,Canada
440,2/7/2008,53,,Singapore
442,2/8/2008,25.8,AB,Canada
448,2/10/2008,25.8,VIC,Australia
455,2/17/2008,137.35,QC,Canada
456,2/18/2008,39.4,ON,Canada
461,2/20/2008,150.2,QC,Canada
464,2/22/2008,24.15,,United Kingdom
466,2/24/2008,23.2,PA,United States
463,2/25/2008,35,QC,Canada
469,2/25/2008,126.1,ON,Canada
470,2/27/2008,42.6,QC,Canada
473,3/2/2008,34.3,,American Samoa
474,3/3/2008,53.3,MB,Canada
476,3/4/2008,22.65,LA,United States
478,3/5/2008,74.1,QC,Canada
480,3/7/2008,12.9,QC,Canada
481,3/8/2008,60.4,QC,Canada
471,3/10/2008,3.1,TX,United States
489,3/16/2008,13.8,QC,Canada
493,3/19/2008,44.5,NS,Canada
497,3/20/2008,56.8,QC,Canada
495,3/27/2008,30.32,QC,Canada
459,3/28/2008,69.8,QC,Canada
464,4/6/2008,3.25,,United Kingdom
512,4/7/2008,7.9,QC,Canada
513,4/10/2008,5.6,MI,United States
514,4/11/2008,44.52,ON,Canada
518,4/14/2008,50.1,QC,Canada
523,4/16/2008,60.95,MO,United States
524,4/17/2008,59.9,QC,Canada
525,4/17/2008,16.8,CA,United States
521,4/18/2008,43.5,BRG,Germany
515,4/18/2008,43.75,NC,United States
528,4/21/2008,54.37,BC,Canada
529,4/21/2008,165.17,QC,Canada
533,4/24/2008,53.4,QC,Canada
535,4/25/2008,170.4,QC,Canada
538,4/28/2008,12.92,TX,United States
462,4/29/2008,50.3,ON,Canada
540,4/29/2008,74.36,BC,Canada
238,5/1/2008,44.3,ON,Canada
509,5/1/2008,55.2,ON,Canada
546,5/1/2008,14.8,ON,Canada
547,5/3/2008,82,QC,Canada
548,5/7/2008,30.72,ON,Canada
550,5/9/2008,154.7,ON,Canada
551,5/9/2008,47.6,ON,Canada
552,5/11/2008,178.45,QC,Canada
404,5/12/2008,341.1,QC,Canada
557,5/16/2008,113.94,QC,Canada
558,5/17/2008,73.6,,United Kingdom
561,5/19/2008,24.97,,Greece
566,5/22/2008,55.46,QC,Canada
567,5/22/2008,47.51,ON,Canada
568,5/23/2008,46.4,ON,Canada
571,5/27/2008,20.3,ON,Canada
572,5/27/2008,17.8,QC,Canada
573,5/30/2008,49.05,QC,Canada
576,5/31/2008,169.6,QC,Canada
580,6/2/2008,58.8,QC,Canada
582,6/3/2008,47.3,ON,Canada
583,6/4/2008,12.9,AB,Canada
276,6/6/2008,60.4,ON,Canada
579,6/6/2008,31.9,AB,Canada
587,6/6/2008,17.8,AB,Canada
591,6/8/2008,19.4,QC,Canada
592,6/10/2008,65.95,ON,Canada
594,6/11/2008,59.7,QC,Canada
595,6/11/2008,12.75,IN,United States
597,6/12/2008,49.35,ON,Canada
599,6/13/2008,50.45,ON,Canada
602,6/16/2008,94.75,ON,Canada
259,6/16/2008,14.2,ON,Canada
604,6/16/2008,11.1,QC,Canada
605,6/17/2008,23.25,MB,Canada
607,6/17/2008,31.8,QC,Canada
609,6/19/2008,14.65,ON,Canada
618,6/22/2008,7,QC,Canada
394,6/22/2008,54.55,ON,Canada
622,6/23/2008,117.3,QC,Canada
621,6/23/2008,75,ON,Canada
624,6/23/2008,27.8,,Australia
626,6/24/2008,67.15,AB,Canada
625,6/24/2008,52.2,ON,Canada
627,6/24/2008,101.3,MB,Canada
420,6/24/2008,108.55,ON,Canada
630,6/25/2008,51.2,MD,United States
629,6/25/2008,79.45,ON,Canada
631,6/25/2008,157.5,ON,Canada
632,6/25/2008,26.95,QC,Canada
639,6/28/2008,49.9,QC,Canada
598,6/29/2008,58.8,NS,Canada
640,6/29/2008,51.6,OH,United States
639,6/30/2008,50,QC,Canada
645,7/2/2008,142.35,ON,Canada
582,7/2/2008,45.05,ON,Canada
649,7/3/2008,52.45,QC,Canada
650,7/4/2008,27.25,ON,Canada
651,7/5/2008,32.35,ON,Canada
652,7/6/2008,64.35,AB,Canada
654,7/8/2008,19.1,QC,Canada
655,7/9/2008,55.55,,United Kingdom
656,7/9/2008,77.1,ON,Canada
660,7/10/2008,55.5,QC,Canada
661,7/10/2008,47.7,ON,Canada
662,7/11/2008,104.9,ON,Canada
665,7/11/2008,53.35,QC,Canada
666,7/12/2008,23,ON,Canada
667,7/12/2008,59.5,ON,Canada
668,7/12/2008,14.7,,Australia
533,7/13/2008,81.95,QC,Canada
669,7/13/2008,179.4,,New Zealand
566,7/13/2008,100.95,QC,Canada
670,7/13/2008,104.15,QC,Canada
671,7/14/2008,13.9,FL,United States
672,7/14/2008,58.2,NL,Canada
673,7/15/2008,337.98,,Iceland
674,7/16/2008,58.1,ON,Canada
677,7/18/2008,90.9,QC,Canada
679,7/19/2008,97.25,ON,Canada
681,7/20/2008,47.35,ON,Canada
682,7/20/2008,19.4,NS,Canada
684,7/22/2008,16.9,BC,Canada
685,7/23/2008,53.9,TX,United States
576,7/24/2008,71.2,QC,Canada
658,7/24/2008,22.2,ON,Canada
694,7/27/2008,34.3,ON,Canada
695,7/27/2008,45.25,QC,Canada
663,7/27/2008,79.3,QC,Canada
701,7/29/2008,47.65,,Australia
702,7/30/2008,9.25,QC,Canada
703,7/30/2008,93.85,NL,Canada
609,8/1/2008,52.85,ON,Canada
705,8/1/2008,40.4,ON,Canada
708,8/1/2008,63.7,ON,Canada
709,8/1/2008,76.9,NB,Canada
712,8/2/2008,75.2,QC,Canada
717,8/5/2008,97.8,CA,United States
718,8/5/2008,117.6,NY,United States
720,8/6/2008,6.5,ON,Canada
721,8/6/2008,27.75,TN,United States
723,8/7/2008,40.8,NS,Canada
725,8/7/2008,14.2,QC,Canada
726,8/8/2008,143.9,QC,Canada
727,8/8/2008,15.9,QC,Canada
729,8/8/2008,9.5,ON,Canada
731,8/8/2008,22.2,QC,Canada
724,8/9/2008,92.55,QC,Canada
710,8/9/2008,54.5,MB,Canada
732,8/9/2008,92.6,ON,Canada
733,8/9/2008,34.5,ON,Canada
735,8/10/2008,93.2,BC,Canada
737,8/11/2008,37.9,ON,Canada
738,8/11/2008,58.9,MI,United States
740,8/12/2008,109.95,QC,Canada
739,8/12/2008,64.05,AB,Canada
743,8/12/2008,33,QC,Canada
745,8/13/2008,23.5,AB,Canada
746,8/14/2008,22.2,BC,Canada
747,8/14/2008,148,ON,Canada
750,8/15/2008,15.5,ON,Canada
752,8/15/2008,28,ON,Canada
420,8/15/2008,42.6,ON,Canada
755,8/16/2008,5.5,NY,United States
758,8/19/2008,44.5,BC,Canada
761,8/20/2008,43.65,QC,Canada
762,8/21/2008,81.75,NS,Canada
763,8/21/2008,39.9,ON,Canada
537,8/21/2008,46,AB,Canada
767,8/24/2008,16,QC,Canada
768,8/24/2008,13.9,MD,United States
771,8/25/2008,35.1,AL,United States
631,8/25/2008,90.4,ON,Canada
774,8/25/2008,56.9,AB,Canada
775,8/26/2008,47.5,ON,Canada
776,8/26/2008,68.9,ON,Canada
775,8/26/2008,47.5,ON,Canada
777,8/26/2008,35.4,AB,Canada
778,8/26/2008,53.5,ON,Canada
779,8/27/2008,10,QC,Canada
731,8/28/2008,44.7,QC,Canada
781,8/29/2008,32.7,ON,Canada
783,8/29/2008,60.3,QC,Canada
785,8/30/2008,9.6,VIC,Australia
394,8/31/2008,53,ON,Canada
786,8/31/2008,24.35,ON,Canada
787,9/1/2008,26.65,BC,Canada
789,9/1/2008,54.3,FL,United States
790,9/2/2008,23.5,PA,United States
758,9/2/2008,38.2,BC,Canada
727,9/2/2008,15.9,QC,Canada
793,9/2/2008,25.8,QC,Canada
674,9/2/2008,50.25,ON,Canada
794,9/3/2008,90.9,SK,Canada
795,9/3/2008,13.9,QC,Canada
796,9/3/2008,4.4,ON,Canada
800,9/5/2008,35.35,ON,Canada
661,9/5/2008,53.95,ON,Canada
801,9/5/2008,24,QC,Canada
805,9/6/2008,12.9,AB,Canada
398,9/7/2008,98.5,QC,Canada
808,9/7/2008,13.2,TX,United States
810,9/7/2008,49.6,BC,Canada
811,9/8/2008,41.2,ON,Canada
741,9/8/2008,50.8,NS,Canada
814,9/8/2008,26.3,QC,Canada
815,9/8/2008,49.15,AB,Canada
816,9/9/2008,7.4,ON,Canada
656,9/9/2008,83.25,ON,Canada
817,9/9/2008,53.2,BC,Canada
818,9/9/2008,166.65,QC,Canada
726,9/10/2008,104.9,QC,Canada
819,9/10/2008,43.9,QC,Canada
764,9/11/2008,19.2,ON,Canada
821,9/11/2008,83.5,BC,Canada
761,9/11/2008,48.75,QC,Canada
820,9/11/2008,36.2,ON,Canada
824,9/11/2008,14.4,ON,Canada
825,9/11/2008,41.2,AB,Canada
827,9/12/2008,32.8,QC,Canada
231,9/12/2008,56.55,QC,Canada
828,9/13/2008,18.05,AB,Canada
822,9/13/2008,28.8,ON,Canada
831,9/13/2008,37,QC,Canada
832,9/14/2008,14.2,SK,Canada
813,9/14/2008,27.1,ON,Canada
836,9/14/2008,57.55,BC,Canada
705,9/15/2008,35,ON,Canada
840,9/16/2008,45,AB,Canada
842,9/16/2008,22.4,QC,Canada
843,9/16/2008,20.95,ON,Canada
609,9/17/2008,51.5,ON,Canada
269,9/17/2008,93.68,AB,Canada
767,9/17/2008,31,QC,Canada
845,9/18/2008,12.6,SK,Canada
849,9/18/2008,2.45,IL,United States
404,9/18/2008,273.9,QC,Canada
847,9/19/2008,51.9,ON,Canada
850,9/20/2008,214.75,SK,Canada
854,9/21/2008,14,MD,United States
846,9/21/2008,34.4,ON,Canada
855,9/21/2008,39.6,VIC,Australia
857,9/22/2008,26.4,ON,Canada
858,9/22/2008,22,AB,Canada
851,9/22/2008,130.55,ON,Canada
859,9/22/2008,21.5,ON,Canada
861,9/22/2008,47.7,QC,Canada
863,9/22/2008,21.8,AB,Canada
862,9/22/2008,163.65,QC,Canada
473,9/23/2008,96.5,,American Samoa
866,9/23/2008,56.35,ON,Canada
870,9/25/2008,33.3,ON,Canada
871,9/25/2008,26.8,ON,Canada
852,9/27/2008,34.2,ON,Canada
872,9/28/2008,14.2,TX,United States
873,9/28/2008,27.4,TX,United States
875,9/29/2008,81.15,SK,Canada
879,9/30/2008,10.8,CA,United States
882,9/30/2008,47.7,NJ,United States
883,9/30/2008,100.8,ON,Canada
887,10/2/2008,33.95,MB,Canada
889,10/2/2008,65.35,QC,Canada
891,10/3/2008,40.65,QC,Canada
425,10/3/2008,40.65,QC,Canada
497,10/3/2008,82.25,QC,Canada
892,10/4/2008,38.6,QC,Canada
893,10/4/2008,67.95,QC,Canada
311,10/5/2008,36,ON,Canada
651,10/5/2008,22.2,ON,Canada
862,10/5/2008,183.5,QC,Canada
894,10/6/2008,160,QC,Canada
897,10/7/2008,27,NC,United States
898,10/7/2008,49.95,SK,Canada
899,10/7/2008,104,ON,Canada
900,10/7/2008,104.55,QC,Canada
901,10/7/2008,36.2,ON,Canada
663,10/8/2008,50.4,QC,Canada
851,10/8/2008,162.65,ON,Canada
691,10/8/2008,158.7,ON,Canada
904,10/8/2008,35.75,ON,Canada
905,10/9/2008,39.2,QC,Canada
798,10/9/2008,29.6,ON,Canada
828,10/9/2008,47.35,AB,Canada
908,10/9/2008,43.3,ON,Canada
910,10/10/2008,106.1,MB,Canada
777,10/10/2008,31.8,AB,Canada
850,10/10/2008,115.55,SK,Canada
911,10/11/2008,39.3,,United Kingdom
913,10/11/2008,53.35,NB,Canada
914,10/12/2008,12.5,QC,Canada
916,10/13/2008,45.7,ON,Canada
592,10/13/2008,62.9,ON,Canada
918,10/15/2008,27.8,QC,Canada
920,10/15/2008,36.2,QC,Canada
921,10/15/2008,89.1,QC,Canada
727,10/15/2008,37.8,QC,Canada
922,10/15/2008,131.4,VIC,Australia
924,10/16/2008,29.9,ON,Canada
926,10/16/2008,73.3,ON,Canada
404,10/16/2008,69.5,QC,Canada
884,10/17/2008,34.75,ON,Canada
136,10/17/2008,60,,Canada
927,10/17/2008,53.7,AB,Canada
928,10/17/2008,45.7,ON,Canada
929,10/18/2008,12.25,QC,Canada
832,10/19/2008,38.4,SK,Canada
931,10/19/2008,64.15,QC,Canada
933,10/19/2008,18.8,QC,Canada
935,10/20/2008,87.75,ON,Canada
930,10/20/2008,24.2,QC,Canada
843,10/20/2008,18.95,ON,Canada
936,10/20/2008,14.1,ON,Canada
937,10/20/2008,20.1,QC,Canada
940,10/22/2008,14.6,ON,Canada
941,10/22/2008,24.8,ON,Canada
939,10/22/2008,46.4,QC,Canada
943,10/22/2008,30.75,QC,Canada
945,10/23/2008,275.35,ON,Canada
947,10/23/2008,27.8,ON,Canada
948,10/24/2008,157.9,AG,Switzerland
950,10/24/2008,189.3,ON,Canada
949,10/24/2008,182.7,SK,Canada
582,10/24/2008,50.05,ON,Canada
919,10/25/2008,197.7,ON,Canada
249,10/25/2008,167.75,ON,Canada
783,10/25/2008,6.3,QC,Canada
956,10/27/2008,65.75,NS,Canada
957,10/27/2008,39.85,QC,Canada
951,10/28/2008,60.2,QC,Canada
959,10/28/2008,42.6,AB,Canada
961,10/28/2008,57.35,QC,Canada
965,10/29/2008,106.45,ON,Canada
967,10/29/2008,69.7,BC,Canada
968,10/29/2008,167.5,ON,Canada
971,10/29/2008,52.5,BC,Canada
888,10/31/2008,31.8,ON,Canada
944,11/1/2008,37.45,NB,Canada
978,11/2/2008,10.6,QC,Canada
980,11/3/2008,18.4,ON,Canada
975,11/4/2008,32.5,ON,Canada
976,11/4/2008,69.8,NB,Canada
983,11/5/2008,47.7,ON,Canada
990,11/6/2008,162.35,QC,Canada
991,11/7/2008,11.65,NS,Canada
821,11/7/2008,20.95,BC,Canada
997,11/9/2008,324.15,QC,Canada
705,11/9/2008,28,ON,Canada
1000,11/10/2008,84.45,NS,Canada
1002,11/10/2008,36.4,QC,Canada
1005,11/11/2008,125.6,QC,Canada
231,11/11/2008,172.2,QC,Canada
1006,11/11/2008,232.5,,France
1007,11/11/2008,33.6,ON,Canada
1008,11/11/2008,54.95,QC,Canada
1010,11/11/2008,112,IN,United States
1012,11/12/2008,26.85,QC,Canada
249,11/13/2008,221.55,ON,Canada
730,11/13/2008,31.8,NS,Canada
1016,11/13/2008,63.2,ON,Canada
986,11/14/2008,226,QC,Canada
1017,11/14/2008,29.9,NJ,United States
893,11/15/2008,54.1,QC,Canada
979,11/15/2008,53.95,QC,Canada
658,11/16/2008,75.3,ON,Canada
1020,11/17/2008,54.55,QC,Canada
1021,11/18/2008,148.45,NB,Canada
702,11/18/2008,27.75,QC,Canada
1025,11/18/2008,63.6,QC,Canada
1026,11/18/2008,32.3,ON,Canada
1027,11/18/2008,23.9,ON,Canada
926,11/19/2008,31.8,ON,Canada
1030,11/19/2008,66.05,QC,Canada
993,11/19/2008,123.5,ON,Canada
1031,11/19/2008,47.7,ON,Canada
1032,11/19/2008,58.85,ON,Canada
679,11/20/2008,33,ON,Canada
1033,11/20/2008,283,ON,Canada
1035,11/20/2008,27,BC,Canada
1036,11/20/2008,19.2,NSW,Australia
1039,11/20/2008,3,WA,United States
992,11/21/2008,95.85,QC,Canada
1040,11/21/2008,12.1,ON,Canada
977,11/22/2008,14,QC,Canada
1045,11/23/2008,58.3,ON,Canada
1046,11/23/2008,37.8,ON,Canada
1047,11/23/2008,9.9,QC,Canada
1050,11/24/2008,353.75,,Cyprus
727,11/25/2008,18.5,QC,Canada
1054,11/26/2008,56.8,MA,United States
1055,11/26/2008,24,QC,Canada
851,11/27/2008,89.45,ON,Canada
786,11/27/2008,79,ON,Canada
1058,11/27/2008,15.4,NY,United States
1059,11/27/2008,8.4,QC,Canada
1060,11/28/2008,14,ON,Canada
1061,11/28/2008,24.5,NC,United States
1056,11/28/2008,28.95,SK,Canada
997,11/29/2008,61.15,QC,Canada
1063,11/29/2008,27.3,QC,Canada
1067,11/30/2008,43.4,ON,Canada
238,11/30/2008,52.15,ON,Canada
582,11/30/2008,67.65,ON,Canada
1068,11/30/2008,14,BC,Canada
828,12/1/2008,61.7,QC,Canada
188,12/1/2008,56.1,ON,Canada
732,12/2/2008,26,ON,Canada
651,12/2/2008,14.4,ON,Canada
1070,12/2/2008,74.55,ON,Canada
1072,12/3/2008,31.25,QC,Canada
1075,12/5/2008,59.9,ON,Canada
1076,12/6/2008,62.15,QC,Canada
1078,12/7/2008,62,ON,Canada
818,12/7/2008,133.2,QC,Canada
1082,12/8/2008,55,QC,Canada
1083,12/9/2008,97.45,WA,Australia
1084,12/9/2008,42,ON,Canada
933,12/9/2008,88.4,QC,Canada
1087,12/9/2008,14.2,BC,Canada
1088,12/9/2008,31,ON,Canada
1089,12/9/2008,92.4,,South Africa
705,12/10/2008,35,ON,Canada
1081,12/11/2008,86.2,ON,Canada
1093,12/12/2008,31.8,QC,Canada
1095,12/13/2008,7.5,VA,United States
1096,12/13/2008,80.2,ON,Canada
1098,12/14/2008,43.8,ON,Canada
1099,12/14/2008,14.2,LA,United States
1103,12/16/2008,28,AB,Canada
1104,12/17/2008,37.1,BC,Canada
1105,12/17/2008,52.05,QC,Canada
1108,12/18/2008,12.1,TN,United States
472,12/18/2008,46,,"France, Metropolitan"
325,12/19/2008,172.35,ON,Canada
1109,12/19/2008,84.85,ON,Canada
1110,12/19/2008,9.25,AB,Canada
569,12/19/2008,31.15,AB,Canada
153,12/19/2008,35.15,BC,Canada
821,12/19/2008,42.1,BC,Canada
787,12/19/2008,35.6,BC,Canada
1111,12/21/2008,15.9,ON,Canada
1112,12/22/2008,68.15,BC,Canada
1113,12/23/2008,31.8,ON,Canada
1114,12/25/2008,23.95,QC,Canada
1116,12/26/2008,14.2,ON,Canada
1120,12/27/2008,36.8,BC,Canada
750,12/29/2008,16.1,ON,Canada
1126,12/31/2008,9.6,ON,Canada
672,1/1/2009,78.1,NL,Canada
1129,1/2/2009,51.7,ON,Canada
1130,1/2/2009,63.3,BC,Canada
1016,1/2/2009,60.3,ON,Canada
852,1/3/2009,6.25,ON,Canada
587,1/4/2009,121,AB,Canada
1133,1/5/2009,33.3,ON,Canada
1137,1/7/2009,48.5,QC,Canada
1138,1/8/2009,18.5,QC,Canada
461,1/8/2009,209.6,QC,Canada
622,1/8/2009,26.9,QC,Canada
1012,1/8/2009,8,QC,Canada
1139,1/9/2009,16.2,ON,Canada
1145,1/11/2009,49.1,QC,Canada
532,1/11/2009,47.8,BC,Canada
1146,1/12/2009,14.9,ON,Canada
1148,1/12/2009,54.65,ON,Canada
1149,1/13/2009,11.85,ON,Canada
1150,1/13/2009,35.7,QC,Canada
1152,1/13/2009,51,AB,Canada
246,1/13/2009,17.2,ON,Canada
1153,1/14/2009,35.2,ON,Canada
1154,1/14/2009,86.65,ON,Canada
1144,1/14/2009,131.8,NB,Canada
1155,1/14/2009,27.8,ON,Canada
1157,1/14/2009,28.95,AB,Canada
1156,1/15/2009,106.4,ON,Canada
1160,1/16/2009,20.1,QC,Canada
1161,1/16/2009,89.25,QC,Canada
1163,1/18/2009,83,AZ,United States
990,1/19/2009,238.8,QC,Canada
1121,1/19/2009,80.73,ON,Canada
1170,1/20/2009,114.65,BC,Canada
1171,1/20/2009,11.5,NS,Canada
1172,1/20/2009,82.7,QC,Canada
1173,1/20/2009,183.7,ON,Canada
1174,1/20/2009,82.3,SK,Canada
1175,1/21/2009,16.8,ON,Canada
1179,1/22/2009,51.7,CA,United States
1181,1/23/2009,55.8,QC,Canada
1084,1/23/2009,42,ON,Canada
1183,1/24/2009,73.7,PA,United States
1187,1/25/2009,36.2,SK,Canada
1188,1/26/2009,86.5,BC,Canada
1190,1/27/2009,31.8,MO,United States
1191,1/27/2009,15.9,QC,Canada
1194,1/29/2009,53.8,QC,Canada
1147,1/29/2009,54.7,QC,Canada
1197,1/30/2009,32.8,GA,United States
1198,1/30/2009,41.5,,Trinidad and Tobago
1200,1/30/2009,18.6,VA,United States
1203,1/31/2009,19.8,QC,Canada
1204,1/31/2009,28,FL,United States
1205,1/31/2009,46,QC,Canada
1210,2/1/2009,42.5,BC,Canada
1213,2/2/2009,25,WI,United States
1011,2/2/2009,50,ON,Canada
1215,2/3/2009,34.45,ON,Canada
1217,2/3/2009,122.7,ON,Canada
1218,2/4/2009,24.05,QC,Canada
1040,2/4/2009,9.9,ON,Canada
1219,2/5/2009,3.85,NY,United States
1220,2/5/2009,115.65,ON,Canada
1222,2/5/2009,19.4,TX,United States
1223,2/5/2009,27.75,AB,Canada
1225,2/6/2009,36.4,ON,Canada
1166,2/6/2009,88.3,ON,Canada
1226,2/6/2009,13.9,NB,Canada
1230,2/8/2009,15.6,ON,Canada
1231,2/8/2009,6.25,NC,United States
580,2/8/2009,46.05,QC,Canada
1233,2/9/2009,27.8,IN,United States
1235,2/9/2009,27.36,ON,Canada
1236,2/9/2009,29.8,QC,Canada
1228,2/9/2009,28.95,ON,Canada
1238,2/10/2009,72.75,ON,Canada
1239,2/10/2009,86.5,BC,Canada
1240,2/10/2009,63.4,ON,Canada
1241,2/10/2009,33,NE,United States
1243,2/10/2009,31.85,TX,United States
1245,2/11/2009,111.9,QC,Canada
1248,2/12/2009,72.1,NC,United States
1249,2/12/2009,16.4,QC,Canada
1132,2/12/2009,3.45,IN,United States
1251,2/13/2009,151.85,MB,Canada
651,2/15/2009,29.4,ON,Canada
979,2/15/2009,62.3,QC,Canada
1256,2/15/2009,30.25,AL,United States
1218,2/15/2009,21.15,QC,Canada
1257,2/16/2009,30.1,AB,Canada
1260,2/17/2009,86.8,NS,Canada
1263,2/18/2009,181.7,MB,Canada
1265,2/18/2009,43.2,ON,Canada
1264,2/18/2009,113.95,ON,Canada
1266,2/19/2009,37.3,QC,Canada
1232,2/19/2009,37.85,ON,Canada
1269,2/19/2009,115.95,ON,Canada
1271,2/20/2009,36.4,BC,Canada
1272,2/20/2009,14,IN,United States
1274,2/21/2009,159.3,SK,Canada
566,2/21/2009,32.95,QC,Canada
1268,2/21/2009,52.2,AB,Canada
1277,2/22/2009,53.6,FL,United States
1278,2/22/2009,9.25,PA,United States
1279,2/23/2009,53.4,QC,Canada
1237,2/23/2009,106.1,ON,Canada
1280,2/23/2009,14.65,AB,Canada
1281,2/23/2009,24.65,ON,Canada
1284,2/24/2009,253.35,QC,Canada
1287,2/24/2009,47.7,ON,Canada
1288,2/25/2009,19.6,QC,Canada
1282,2/25/2009,125.95,BC,Canada
1290,2/25/2009,25,ON,Canada
1291,2/25/2009,14.2,PA,United States
1294,2/26/2009,66.6,SK,Canada
1296,2/27/2009,74.7,WA,United States
1297,2/28/2009,43.1,ON,Canada
1095,3/1/2009,33.6,VA,United States
1298,3/1/2009,131.76,AB,Canada
1301,3/2/2009,40,QC,Canada
1302,3/2/2009,9.4,BC,Canada
1303,3/2/2009,155.8,ON,Canada
1299,3/2/2009,33.8,QC,Canada
1209,3/3/2009,515.5,ON,Canada
582,3/3/2009,94.45,ON,Canada
1304,3/3/2009,92.9,QC,Canada
1306,3/3/2009,23,AK,United States
1307,3/4/2009,10.85,ON,Canada
1308,3/4/2009,30.78,ON,Canada
1310,3/5/2009,59.95,ON,Canada
1311,3/5/2009,19.9,QC,Canada
1305,3/5/2009,7.4,FL,United States
1312,3/5/2009,19.75,BC,Canada
1314,3/6/2009,73.8,BC,Canada
1316,3/6/2009,64.8,QC,Canada
1319,3/7/2009,43.25,ON,Canada
1320,3/7/2009,95.3,NL,Canada
1321,3/7/2009,62.9,ON,Canada
1322,3/8/2009,51.7,IL,United States
1326,3/8/2009,43.85,ON,Canada
1327,3/8/2009,56.8,CA,United States
827,3/9/2009,23.8,QC,Canada
1332,3/12/2009,30.3,ON,Canada
1333,3/12/2009,52.8,ON,Canada
1167,3/12/2009,68.15,QC,Canada
1313,3/13/2009,22.6,ON,Canada
1334,3/13/2009,48.3,ON,Canada
1335,3/13/2009,152.5,NC,United States
218,3/14/2009,124,BC,Canada
931,3/14/2009,15.15,QC,Canada
1336,3/15/2009,67.7,MD,United States
818,3/15/2009,198.55,QC,Canada
1104,3/15/2009,37.5,BC,Canada
1338,3/16/2009,37.7,ON,Canada
1342,3/16/2009,62.8,ON,Canada
1343,3/16/2009,54.7,ON,Canada
1012,3/18/2009,4,QC,Canada
1347,3/18/2009,28.95,ON,Canada
1040,3/18/2009,41.8,ON,Canada
1348,3/18/2009,67.9,BC,Canada
1350,3/19/2009,136.15,BC,Canada
1352,3/20/2009,158.65,QC,Canada
1353,3/20/2009,33.6,CA,United States
1351,3/23/2009,58.5,QC,Canada
1359,3/23/2009,78,ON,Canada
1361,3/25/2009,41.15,ON,Canada
1365,3/27/2009,70.2,ON,Canada
1082,3/27/2009,63.8,QC,Canada
1366,3/28/2009,8.5,AB,Canada
1273,3/29/2009,157.15,SK,Canada
1182,3/30/2009,43.55,ON,Canada
1368,3/31/2009,24.6,QC,Canada
1274,4/1/2009,32.8,SK,Canada
1365,4/1/2009,42.8,AB,Canada
1342,4/3/2009,35.15,ON,Canada
758,4/3/2009,38.8,BC,Canada
1373,4/4/2009,14.2,QC,Canada
1375,4/4/2009,93.05,ON,Canada
1374,4/4/2009,15.6,QC,Canada
1377,4/5/2009,26.5,QC,Canada
1378,4/5/2009,38.4,ON,Canada
420,4/5/2009,124,ON,Canada
1147,4/6/2009,154.9,QC,Canada
741,4/6/2009,81.5,NS,Canada
1381,4/6/2009,103.85,QC,Canada
1379,4/7/2009,63.6,QC,Canada
1383,4/7/2009,30.5,ON,Canada
